Id	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
756972321777344512		0.31	0.45	0.793147133651	0.13	0.3525	0.61	0.799	0.35	
836936016904716288		0.37	0.22	0.4	0.5	0.43	0.28	0.11	0.32	
14505245		0.45	0.28	0.49	0.56	0.57	0.29	0.21	0.48	
320999960		0.24	0.34	0.22	0.46	0.39	0.32	0.21	0.29	
166216613		0.39	0.32	0.51	0.56	0.5	0.44	0.56	0.44	
2802845137		0.43	0.43	0.39	0.63	0.53	0.56	0.54	0.37	
13850422		0.57	0.2	0.58	0.44	0.65	0.28	0.29	0.34	
2191491336		0.29	0.22	0.32	0.22	0.46	0.33	0.23	0.23	
2147940818		0.38	0.42	0.22	0.24	0.6	0.4	0.26	0.24	
706665518044999681		0.57	0.35	0.38	0.15	0.3	0.37	0.17	0.43	
87562484		0.29	0.09	0.28	0.24	0.34	0.21	0.11	0.23	
95009868		0.26	0.28	0.34	0.16	0.29	0.24	0.16	0.35	
2955157787		0.11	0.04	0.43	0.22	0.18	0.19	0.09	0.28	
3157953149		0.39	0.34	0.25	0.29	0.61	0.2	0.1	0.4	
758307367306100740		0.32	0.15	0.39	0.3	0.38	0.31	0.27	0.34	
718908444		0.38	0.4	0.36	0.42	0.38	0.3	0.16	0.32	
29216764		0.5	0.36	0.53	0.48	0.48	0.38	0.57	0.51	
2832742492		0.45	0.3	0.39	0.4	0.5	0.49	0.4	0.35	
23103690		0.27	0.17	0.24	0.36	0.4	0.56	0.11	0.26	
368720279		0.56	0.3	0.66	0.54	0.54	0.19	0.14	0.53	
368120569		0.34	0.16	0.43	0.59	0.47	0.44	0.4	0.36	
158060289		0.55	0.6	0.58	0.32	0.38	0.24	0.22	0.56	
3265487640		0.41	0.18	0.38	0.47	0.5	0.314	0.32	0.34	
794892349138608128		0.44	0.41	0.32	0.56	0.45	0.3	0.28	0.37	
487999907		0.19	0.04	0.37	0.1	0.29	0.26	0.23	0.18	
16810118		0.645	0.33	0.567903934212	0.588539667626	0.69	0.87	0.51	0.46	
1614139699		0.22	0.08	0.29	0.2	0.42	0.19	0.36	0.19	
88991844		0.38	0.2	0.4	0.29	0.57	0.21	0.45	0.34	
757709658555490305		0.45	0.42	0.43	0.35	0.54	0.56	0.76	0.38	
4877092403		0.6	0.21	0.47	0.13	0.76	0.81	0.45	0.36	
3819608294		0.27	0.22	0.45	0.48	0.39	0.48	0.44	0.36	
18205127		0.43	0.39	0.47	0.16	0.45	0.48	0.25	0.33	
54713672		0.31	0.21	0.34	0.49	0.38	0.44	0.04	0.23	
1071037513		0.28	0.17	0.34	0.17	0.37	0.45	0.44	0.35	
1357216692		0.37	0.2	0.25	0.55	0.51	0.32	0.17	0.31	
48256173		0.18	0.08	0.28	0.31	0.33	0.24	0.32	0.2	
756183832173445120		0.44	0.41	0.3	0.32	0.44	0.36	0.29	0.41	
22292787		0.28	0.29	0.26	0.56	0.44	0.36	0.38	0.31	
17202594		0.31	0.09	0.17	0.23	0.25	0.36	0.05	0.23	
1279745744		0.27	0.42	0.31	0.14	0.28	0.32	0.08	0.27	
3294546230		0.21	0.07	0.31	0.15	0.33	0.26	0.3	0.21	
2851686730		0.52	0.23	0.75	0.56	0.66	0.48	0.69	0.45	
1150005829		0.33	0.16	0.36	0.34	0.63	0.44	0.37	0.18	
291121786		0.39	0.31	0.53	0.29	0.62	0.36	0.39	0.48	
18903953		0.33	0.14	0.23	0.15	0.42	0.3	0.08	0.26	
32772575		0.3	0.25	0.18	0.18	0.27	0.21	0.22	0.24	
572265354		0.57	0.47	0.64	0.45	0.54	0.44	0.38	0.55	
30313925		0.51	0.39	0.5	0.38	0.34	0.44	0.19	0.45	
274736684		0.23	0.03	0.17	0.29	0.24	0.19	0.32	0.22	
705814755869470720		0.6	0.54	0.65	0.56	0.61	0.46	0.5	0.53	
747636020		0.27	0.21	0.48	0.24	0.49	0.42	0.12	0.31	
3282583820		0.43	0.14	0.34	0.5	0.43	0.36	0.24	0.25	
2801177472		0.48	0.57	0.31	0.33	0.27	0.32	0.19	0.36	
2881583811		0.48	0.27	0.36	0.4	0.48	0.37	0.5	0.39	
173197968		0.24	0.08	0.33	0.21	0.41	0.39	0.28	0.16	
291408828		0.21	0.01	0.16	0.13	0.26	0.13	0.06	0.16	
81275807		0.35	0.4	0.37	0.46	0.42	0.38	0.39	0.29	
2984727962		0.6	0.88	0.61	0.43	0.34	0.35	0.34	0.76	
123521611		0.57	0.28	0.5	0.16	0.73	0.37	0.23	0.43	
790717488		0.37	0.22	0.29	0.29	0.6	0.23	0.1	0.26	
3867589821		0.31	0.17	0.07	0.18	0.31	0.22	0.03	0.17	
526639885		0.29	0.25	0.24	0.38	0.36	0.37	0.21	0.26	
728782203706953735		0.36	0.23	0.24	0.54	0.46	0.26	0.26	0.39	
29530235		0.5	0.5	0.39	0.4	0.46	0.285	0.16	0.36	
3309841026		0.29	0.26	0.24	0.04	0.48	0.2	0.36	0.2	
256903879		0.43	0.35	0.29	0.41	0.39	0.22	0.07	0.39	
1323769675		0.35	0.34	0.26	0.51	0.42	0.29	0.19	0.29	
3271255423		0.61	0.67	0.5	0.58	0.39	0.27	0.4	0.5	
36890646		0.43	0.28	0.47	0.18	0.49	0.23	0.23	0.39	
249690709		0.49	0.2	0.63	0.21	0.52	0.51	0.28	0.62	
619614406		0.18	0.07	0.19	0.05	0.17	0.27	0.07	0.2	
4157381963		0.66	0.58	0.42	0.43	0.63	0.713333333333	0.48	0.47	
98956941		0.34	0.36	0.3	0.38	0.45	0.27	0.34	0.42	
2412051059		0.69	0.55	0.42	0.37	0.71	0.31	0.28	0.44	
36511832		0.4	0.09	0.4	0.22	0.37	0.299166666667	0.14	0.38	
784780976912162816		0.3	0.14	0.23	0.23	0.48	0.23	0.05	0.24	
4715804222		0.22	0.08	0.27	0.17	0.24	0.12	0.3	0.24	
493390391		0.33	0.21	0.33	0.3	0.36	0.28	0.28	0.32	
89680611		0.41	0.53	0.47	0.18	0.45	0.22	0.22	0.42	
3320721216		0.2	0.24	0.41	0.04	0.26	0.32	0.13	0.17	
885698071		0.24	0.27	0.23	0.35	0.4	0.42	0.15	0.17	
18916432		0.38	0.3	0.55	0.42	0.53	0.36	0.25	0.35	
15358651		0.32	0.15	0.25	0.22	0.44	0.27	0.17	0.27	
4064331736		0.3	0.31	0.36	0.46	0.37	0.24	0.16	0.25	
3124879097		0.3	0.35	0.29	0.19	0.43	0.41	0.43	0.29	
2346152484		0.54	0.3	0.52	0.32	0.5	0.27	0.29	0.3	
17027632		0.36	0.19	0.26	0.23	0.38	0.19	0.04	0.24	
2488963134		0.36	0.13	0.32	0.24	0.49	0.33	0.32	0.22	
2743422475		0.54	0.47	0.37	0.44	0.45	0.33	0.35	0.36	
15606793		0.18	0.24	0.31	0.08	0.36	0.16	0.15	0.26	
144878180		0.23	0.42	0.793147133651	0.65	0.71	0.8	0.73	0.08	
1911610303		0.35	0.15	0.2	0.35	0.64	0.41	0.31	0.2	
619340149		0.14	0.02	0.26	0.14	0.42	0.24	0.02	0.11	
417265667		0.28	0.22	0.22	0.24	0.42	0.3	0.07	0.19	
26178161		0.12	0.32	0.3	0.09	0.44	0.41	0.37	0.19	
25073877		0.43	0.41	0.39	0.67	0.46	0.33	0.47	0.4	
95717760		0.49	0.3	0.45	0.27	0.43	0.37	0.41	0.41	
525954482		0.3	0.15	0.28	0.6	0.42	0.25	0.34	0.23	
2516924637		0.39	0.25	0.28	0.32	0.53	0.365	0.11	0.26	
398435953		0.23	0.07	0.21	0.17	0.23	0.34	0.41	0.12	
130496027		0.34	0.26	0.4	0.27	0.29	0.2	0.16	0.33	
25056367		0.44	0.2	0.53	0.1	0.7775	0.43	0.55	0.3	
183657109		0.36	0.11	0.28	0.06	0.7	0.39	0.06	0.12	
40173650		0.55	0.71	0.63	0.49	0.44	0.39	0.25	0.63	
767870812502183937		0.29	0.32	0.28	0.42	0.31	0.13	0.24	0.25	
237403203		0.58	0.15	0.45	0.64	0.63	0.52	0.19	0.44	
530935695		0.34	0.13	0.26	0.27	0.39	0.24	0.34	0.29	
2382679416		0.46	0.27	0.54	0.42	0.31	0.47	0.1	0.49	
1118782550		0.37	0.17	0.32	0.52	0.59	0.68	0.31	0.34	
61776145		0.36	0.22	0.35	0.3	0.35	0.15	0.38	0.33	
23997794		0.34	0.16	0.27	0.48	0.32	0.49	0.16	0.29	
228736760		0.43	0.27	0.3	0.54	0.39	0.33	0.28	0.27	
547089105		0.39	0.16	0.28	0.31	0.43	0.31	0.06	0.37	
429994175		0.33	0.02	0.29	0.19	0.52	0.38	0.23	0.22	
853185504		0.52	0.37	0.66	0.76	0.56	0.45	0.57	0.42	
883500955		0.26	0.07	0.3	0.14	0.48	0.33	0.16	0.16	
573649780		0.31	0.23	0.26	0.43	0.39	0.31	0.32	0.25	
3069216826		0.33	0.16	0.29	0.48	0.49	0.47	0.38	0.31	
550161898		0.33	0.28	0.46	0.48	0.5	0.365	0.2	0.2	
19615940		0.61	0.73	0.5	0.49	0.48	0.43	0.17	0.63	
30534986		0.48	0.56	0.29	0.14	0.26	0.35	0.16	0.39	
3317945875		0.39	0.14	0.27	0.3	0.44	0.15	0.25	0.31	
202924368		0.38	0.29	0.15	0.5	0.64	0.39	0.33	0.2	
19571797		0.54	0.29	0.68	0.26	0.67	0.5	0.08	0.56	
3839070432		0.56	0.84	0.57	0.32	0.7	0.45	0.18	0.53	
701531343721799680		0.26	0.21	0.33	0.17	0.35	0.36	0.42	0.2	
866992398		0.27	0.07	0.21	0.09	0.35	0.18	0.14	0.23	
15111062		0.32	0.27	0.31	0.16	0.33	0.36	0.37	0.25	
783695717281988608		0.34	0.23	0.3	0.36	0.49	0.24	0.12	0.24	
7309052		0.53	0.45	0.55	0.41	0.56	0.44	0.27	0.44	
800745527402893313		0.29	0.2	0.51	0.43	0.41	0.37	0.23	0.37	
2556325991		0.18	0.06	0.26	0.12	0.36	0.55	0.44	0.15	
734517100530765824		0.35	0.28	0.29	0.51	0.37	0.23	0.11	0.3	
23281108		0.29	0.08	0.32	0.19	0.19	0.41	0.29	0.26	
797942683436220416		0.54	0.66	0.793147133651	0.90230952381	0.856666666667	0.96	0.92	0.47	
18956073		0.53	0.25	0.59	0.47	0.7	0.57	0.41	0.41	
818927131883356161		0.48	0.61	0.49	0.61	0.38	0.25	0.38	0.43	
534473980		0.48	0.53	0.64	0.36	0.59	0.57	0.47	0.47	
102568724		0.31	0.08	0.26	0.25	0.41	0.34	0.21	0.24	
550487203		0.35	0.19	0.39	0.55	0.51	0.33	0.33	0.31	
