Source,Target,weight
1369895352,26853182,1.0
1369895352,2301820159,1.0
1369895352,949049732,1.0
1369895352,459880050,1.0
1369895352,33206689,1.0
1369895352,782711842678251521,1.0
1369895352,739470325,1.0
1369895352,742822332427735041,1.0
1369895352,742732003921911808,1.0
1369895352,2783367703,1.0
1369895352,313530478,1.0
1369895352,11442262,1.0
1369895352,2906025137,1.0
1369895352,1093687140,1.0
1369895352,2471698340,1.0
1369895352,396198196,1.0
1369895352,519611939,1.0
1369895352,53958222,1.0
1369895352,704303044662439936,1.0
1369895352,1429607790,1.0
1369895352,482654644,1.0
1369895352,741851969598394368,1.0
1369895352,3340774754,1.0
1369895352,763718045227507712,1.0
1369895352,1250525803,1.0
1369895352,281877426,1.0
1369895352,3400009402,1.0
1369895352,73390283,1.0
1369895352,3248002086,1.0
1369895352,2535958714,1.0
1369895352,731524556100263937,1.0
1369895352,203104573,1.0
1369895352,4735176079,1.0
1369895352,2805752907,1.0
1369895352,27095023,1.0
1369895352,36206194,1.0
1369895352,198554300,1.0
1369895352,3412642223,1.0
1369895352,38098099,1.0
1369895352,776055774,1.0
1369895352,742470690993934336,1.0
1369895352,2391736411,1.0
1369895352,790649024303009793,1.0
1369895352,2359692109,1.0
1369895352,438827648,1.0
1369895352,715717693714763777,1.0
1369895352,3711366682,1.0
1369895352,89638814,1.0
1369895352,599675249,1.0
1369895352,218137954,1.0
1369895352,1919763115,1.0
1369895352,747957353107042305,1.0
1369895352,1410704167,1.0
1369895352,782331847711883264,1.0
1369895352,751422806454394880,1.0
1369895352,4558045518,1.0
1369895352,1403325440,1.0
1369895352,63155490,1.0
1369895352,295966275,1.0
1369895352,1555236642,1.0
1369895352,182929115,2.0
1369895352,753880945,1.0
1369895352,703644811023118337,1.0
1369895352,763157274529497088,1.0
1369895352,4604399120,1.0
1369895352,404341852,1.0
1369895352,704992515582267392,1.0
1369895352,329167984,1.0
1369895352,18382395,1.0
1369895352,398316763,1.0
1369895352,1072786698,1.0
1369895352,2364605191,1.0
1369895352,261048107,1.0
1369895352,786349641633665025,1.0
1369895352,1325906214,1.0
1369895352,1481460001,1.0
1369895352,413297266,1.0
1369895352,1522233546,1.0
1369895352,305202222,1.0
1369895352,260426187,1.0
1369895352,780918931494174720,1.0
1369895352,787444033064951808,1.0
42751681,379314159,1.0
42751681,4922868578,1.0
42751681,1935871722,1.0
42751681,2190330965,1.0
42751681,2530520976,1.0
42751681,98769374,1.0
42751681,274702185,1.0
57196393,932637253,1.0
4865498327,728616248439939072,1.0
4865498327,1713036884,1.0
2241671448,126840137,1.0
716844660119965696,4049743339,1.0
716844660119965696,761056167564980226,1.0
716844660119965696,2402473400,1.0
716844660119965696,936712939,1.0
716844660119965696,784428232703606786,1.0
716844660119965696,794348153365479429,1.0
716844660119965696,760275687945150464,1.0
716844660119965696,1549066418,1.0
716844660119965696,776798524692373508,1.0
3912690147,759010213391249408,1.0
162244544,758964734091628544,1.0
162244544,415175014,1.0
162244544,773231026009169920,1.0
2686561322,2686561322,1.0
3331257041,114255340,1.0
23222646,112287707,1.0
20544048,414430624,1.0
4750731803,754190162821718019,1.0
4750731803,727935429949820929,1.0
4750731803,895784959,1.0
4750731803,784865526,1.0
4750731803,786680466376097792,1.0
4750731803,403774018,1.0
3302522856,172255937,1.0
3302522856,759763645534314496,1.0
406784853,1423825207,1.0
406784853,1902213510,1.0
764859083107160064,714949505720823808,1.0
20207640,575865962,1.0
20207640,425170236,1.0
484226439,1838538889,1.0
484226439,2924716780,1.0
2993283168,320307136,1.0
264948270,790346710765572096,1.0
264948270,311535208,1.0
264948270,20831584,1.0
264948270,2742628637,1.0
1500129642,749302377010847744,1.0
1500129642,104850722,1.0
1500129642,868554925,1.0
1500129642,4175352980,1.0
1500129642,4352789593,1.0
1500129642,747445513738326017,1.0
1500129642,824754061,1.0
1500129642,49540175,1.0
1500129642,38996285,1.0
1500129642,201092166,1.0
1500129642,778697019300851712,1.0
1500129642,225728952,1.0
1500129642,51322851,1.0
1500129642,4860430335,1.0
1500129642,742048209057374209,1.0
1500129642,149286219,1.0
1500129642,457181638,1.0
1500129642,468525454,1.0
1500129642,585270808,1.0
1500129642,45489122,1.0
1500129642,35525976,1.0
1500129642,339218732,1.0
