userID	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
738402785268367361		0.35	0.43	0.31	0.23	0.29	0.18	0.11	0.33	
25300825		0.22	0.18	0.36	0.32	0.39	0.42	0.24	0.24	
753993480125358080		0.42	0.53	0.86	0.799798443387	0.6	0.0	0.76	0.5	
383853972		0.32	0.14	0.29	0.26	0.52	0.29	0.25	0.21	
331156072		0.33	0.15	0.41	0.2	0.31	0.4	0.33	0.23	
67765647		0.25	0.15	0.23	0.44	0.28	0.35	0.15	0.29	
392513288		0.39	0.18	0.35	0.42	0.44	0.43	0.35	0.27	
4914851213		0.4	0.15	0.46	0.2	0.47	0.37	0.44	0.34	
33278652		0.21	0.05	0.26	0.29	0.27	0.19	0.13	0.22	
4885197972		0.31	0.17	0.21	0.28	0.35	0.17	0.16	0.22	
758787188268019712		0.26	0.19	0.38	0.29	0.44	0.16	0.36	0.26	
69935538		0.33	0.16	0.31	0.36	0.46	0.29	0.29	0.23	
394140104		0.14	0.01	0.11	0.19	0.3	0.2	0.14	0.1	
3110449363		0.36	0.27	0.49	0.19	0.33	0.43	0.31	0.39	
3166178833		0.42	0.28	0.47	0.51	0.4	0.49	0.05	0.39	
301992377		0.31	0.16	0.32	0.25	0.5	0.46	0.55	0.28	
2397963961		0.34	0.07	0.38	0.16	0.28	0.38	0.39	0.22	
2292880440		0.3	0.24	0.45	0.15	0.56	0.52	0.1	0.27	
774835929856999424		0.36	0.11	0.32	0.33	0.43	0.18	0.1	0.35	
246147839		0.35	0.26	0.52	0.31	0.4	0.56	0.25	0.34	
2379034351		0.29	0.15	0.3	0.24	0.5	0.32	0.28	0.34	
245780164		0.45	0.31	0.61	0.21	0.46	0.36	0.62	0.3	
85629721		0.26	0.13	0.22	0.26	0.36	0.38	0.3	0.27	
473226781		0.31	0.34	0.5	0.08	0.21	0.21	0.36	0.32	
752841114336493568		0.56	0.47	0.6	0.27	0.55	0.49	0.27	0.51	
3218954806		0.52	0.36	0.47	0.51	0.64	0.42	0.66	0.32	
1497452629		0.44	0.44	0.43	0.08	0.23	0.28	0.33	0.44	
1092189457		0.25	0.02	0.28	0.12	0.29	0.48	0.17	0.26	
749940685948739585		0.46	0.46	0.36	0.4	0.51	0.63	0.69	0.43	
353830304		0.38	0.17	0.23	0.33	0.48	0.34	0.39	0.35	
727717202615521284		0.38	0.25	0.22	0.46	0.48	0.32	0.12	0.25	
483133119		0.49	0.42	0.49	0.07	0.43	0.33	0.14	0.4	
3676047863		0.32	0.13	0.33	0.11	0.4	0.33	0.21	0.25	
23942930		0.33	0.25	0.29	0.41	0.39	0.3	0.4	0.24	
505062730		0.22	0.01	0.14	0.16	0.3	0.23	0.12	0.09	
2740478799		0.62	0.78	0.35	0.869318986569	0.79	0.85	0.95	0.54	
95054448		0.25	0.14	0.49	0.21	0.44	0.3	0.33	0.21	
4454359240		0.36	0.2	0.42	0.58	0.28	0.32	0.17	0.23	
